"month","skills","demand_count","avg_salary"
"2023-01-01","scala","191","149336.58"
"2023-01-01","pandas","108","149011.36"
"2023-01-01","redshift","153","145182.52"
"2023-01-01","kafka","192","144404.62"
"2023-01-01","airflow","152","143354.59"
"2023-01-01","spark","436","142915.83"
"2023-01-01","pytorch","111","142443.73"
"2023-01-01","hadoop","246","142069.66"
"2023-01-01","tensorflow","128","141846.11"
"2023-01-01","nosql","163","140255.50"
"2023-01-01","snowflake","232","138828.16"
"2023-01-01","aws","488","138257.21"
"2023-01-01","databricks","126","134083.53"
"2023-01-01","gcp","122","133834.03"
"2023-01-01","python","1362","133097.72"
"2023-01-01","java","282","132163.93"
"2023-01-01","azure","348","131067.09"
"2023-01-01","looker","109","131062.03"
"2023-01-01","docker","108","130231.56"
"2023-01-01","git","143","129527.98"
"2023-01-01","go","137","128635.83"
"2023-01-01","r","570","128101.53"
"2023-01-01","sql","1365","126089.60"
"2023-01-01","oracle","145","117365.55"
"2023-01-01","tableau","512","115715.34"
"2023-01-01","sas","302","112359.85"
"2023-01-01","sql server","149","110623.22"
"2023-01-01","power bi","258","105417.23"
"2023-01-01","word","105","99844.10"
"2023-01-01","excel","422","99474.20"
"2023-01-01","powerpoint","119","97318.23"
"2023-02-01","kafka","200","148490.41"
"2023-02-01","scala","210","146399.90"
"2023-02-01","redshift","149","145044.10"
"2023-02-01","nosql","173","141996.08"
"2023-02-01","snowflake","251","141816.55"
"2023-02-01","spark","428","141630.73"
"2023-02-01","hadoop","244","139411.39"
"2023-02-01","airflow","153","137210.68"
"2023-02-01","databricks","129","137153.21"
"2023-02-01","docker","108","136100.71"
"2023-02-01","pandas","101","136046.42"
"2023-02-01","java","279","135959.00"
"2023-02-01","aws","490","134341.47"
"2023-02-01","azure","318","133544.32"
"2023-02-01","tensorflow","101","133072.06"
"2023-02-01","gcp","128","131294.98"
"2023-02-01","python","1202","130968.22"
"2023-02-01","mongodb","112","127952.84"
"2023-02-01","go","144","127531.33"
"2023-02-01","r","447","124202.38"
"2023-02-01","sql","1194","124001.69"
"2023-02-01","git","125","122332.98"
"2023-02-01","tableau","445","116455.47"
"2023-02-01","oracle","106","111590.86"
"2023-02-01","sql server","136","108749.57"
"2023-02-01","power bi","220","106918.83"
"2023-02-01","sas","266","106913.60"
"2023-02-01","excel","324","102856.73"
"2023-03-01","airflow","176","146065.99"
"2023-03-01","kafka","206","142181.37"
"2023-03-01","scala","208","139762.17"
"2023-03-01","redshift","178","137363.69"
"2023-03-01","aws","573","137224.61"
"2023-03-01","spark","473","137091.74"
"2023-03-01","snowflake","261","136378.72"
"2023-03-01","kubernetes","121","135140.50"
"2023-03-01","tensorflow","111","134933.40"
"2023-03-01","docker","158","131239.17"
"2023-03-01","hadoop","276","131157.65"
"2023-03-01","mysql","115","131014.52"
"2023-03-01","python","1332","130307.32"
"2023-03-01","nosql","253","130222.44"
"2023-03-01","go","122","129706.42"
"2023-03-01","java","349","129701.06"
"2023-03-01","gcp","151","128660.80"
"2023-03-01","azure","368","128311.32"
"2023-03-01","databricks","164","127285.65"
"2023-03-01","mongodb","142","125418.81"
"2023-03-01","r","524","124499.56"
"2023-03-01","git","185","123548.43"
"2023-03-01","sql","1314","122607.68"
"2023-03-01","tableau","457","116043.74"
"2023-03-01","oracle","148","113533.86"
"2023-03-01","sql server","146","112278.78"
"2023-03-01","sas","322","108407.87"
"2023-03-01","power bi","244","105469.02"
"2023-03-01","word","104","104054.78"
"2023-03-01","excel","357","100021.65"
"2023-04-01","airflow","144","146439.39"
"2023-04-01","kafka","126","144486.55"
"2023-04-01","redshift","114","143968.71"
"2023-04-01","scala","154","140467.18"
"2023-04-01","spark","358","139315.63"
"2023-04-01","tensorflow","102","137587.31"
"2023-04-01","snowflake","182","134806.87"
"2023-04-01","aws","420","133547.05"
"2023-04-01","nosql","118","131952.76"
"2023-04-01","python","1061","130813.73"
"2023-04-01","hadoop","196","130461.43"
"2023-04-01","azure","271","129782.94"
"2023-04-01","databricks","141","129592.63"
"2023-04-01","java","224","129275.63"
"2023-04-01","gcp","105","129268.89"
"2023-04-01","go","117","128844.72"
"2023-04-01","git","152","127707.48"
"2023-04-01","r","386","124691.05"
"2023-04-01","sql","1087","123869.35"
"2023-04-01","oracle","114","122095.00"
"2023-04-01","tableau","388","118508.38"
"2023-04-01","sql server","128","118126.51"
"2023-04-01","sas","274","113743.19"
"2023-04-01","power bi","228","108342.24"
"2023-04-01","excel","338","98346.84"
"2023-05-01","kafka","149","150124.51"
"2023-05-01","spark","370","141827.52"
"2023-05-01","pytorch","104","141277.39"
"2023-05-01","scala","168","141160.70"
"2023-05-01","redshift","148","140528.31"
"2023-05-01","airflow","138","140109.02"
"2023-05-01","java","252","139849.27"
"2023-05-01","hadoop","207","139178.15"
"2023-05-01","tensorflow","119","138116.89"
"2023-05-01","snowflake","222","137055.72"
"2023-05-01","nosql","161","136674.81"
"2023-05-01","aws","448","136068.20"
"2023-05-01","docker","111","133363.59"
"2023-05-01","gcp","119","131857.24"
"2023-05-01","python","1161","131762.82"
"2023-05-01","r","437","129336.55"
"2023-05-01","databricks","126","125925.63"
"2023-05-01","git","122","125732.20"
"2023-05-01","azure","313","125640.85"
"2023-05-01","sql","1178","124851.94"
"2023-05-01","oracle","121","121606.20"
"2023-05-01","go","135","119858.40"
"2023-05-01","tableau","454","119152.29"
"2023-05-01","sql server","130","116400.59"
"2023-05-01","sas","268","110814.24"
"2023-05-01","power bi","237","108782.76"
"2023-05-01","excel","324","97555.25"
"2023-06-01","scala","211","145211.08"
"2023-06-01","pytorch","108","140769.01"
"2023-06-01","airflow","166","139276.77"
"2023-06-01","mongodb","116","138481.18"
"2023-06-01","java","323","137435.51"
"2023-06-01","kafka","186","136708.92"
"2023-06-01","go","156","136542.38"
"2023-06-01","snowflake","280","136250.56"
"2023-06-01","hadoop","254","135619.11"
"2023-06-01","tensorflow","135","135162.05"
"2023-06-01","pyspark","115","134487.17"
"2023-06-01","pandas","131","134231.69"
"2023-06-01","spark","454","134041.18"
"2023-06-01","nosql","204","133773.38"
"2023-06-01","redshift","169","133485.38"
"2023-06-01","aws","549","132568.66"
"2023-06-01","python","1386","132261.43"
"2023-06-01","databricks","208","130433.55"
"2023-06-01","gcp","158","129913.13"
"2023-06-01","kubernetes","123","129708.67"
"2023-06-01","azure","423","127609.00"
"2023-06-01","r","534","127264.04"
"2023-06-01","git","146","126151.73"
"2023-06-01","sql","1388","125021.84"
"2023-06-01","docker","132","123427.38"
"2023-06-01","flow","117","123252.57"
"2023-06-01","sas","282","120097.87"
"2023-06-01","tableau","520","117379.52"
"2023-06-01","sql server","129","112788.19"
"2023-06-01","oracle","153","112487.76"
"2023-06-01","power bi","306","108954.04"
"2023-06-01","excel","385","101370.35"
"2023-06-01","word","109","95646.09"
"2023-07-01","pytorch","119","148884.29"
"2023-07-01","tensorflow","133","148553.50"
"2023-07-01","go","146","147980.51"
"2023-07-01","scala","195","143344.96"
"2023-07-01","spark","394","141777.22"
"2023-07-01","kafka","144","139839.45"
"2023-07-01","airflow","175","139549.18"
"2023-07-01","snowflake","246","138094.35"
"2023-07-01","hadoop","217","137083.24"
"2023-07-01","aws","487","133637.99"
"2023-07-01","nosql","141","133622.93"
"2023-07-01","java","252","133115.18"
"2023-07-01","pandas","125","132300.41"
"2023-07-01","docker","122","131456.00"
"2023-07-01","redshift","141","131266.65"
"2023-07-01","python","1299","130859.61"
"2023-07-01","looker","121","130409.69"
"2023-07-01","pyspark","106","128986.48"
"2023-07-01","azure","349","128805.12"
"2023-07-01","r","558","127322.94"
"2023-07-01","git","131","127312.56"
"2023-07-01","gcp","123","127283.06"
"2023-07-01","databricks","157","126631.92"
"2023-07-01","sql","1308","123578.58"
"2023-07-01","flow","121","117261.01"
"2023-07-01","tableau","494","115106.24"
"2023-07-01","oracle","150","110867.27"
"2023-07-01","sas","328","110468.47"
"2023-07-01","sql server","125","110212.54"
"2023-07-01","power bi","241","105335.73"
"2023-07-01","excel","390","103690.81"
"2023-08-01","pytorch","127","153445.57"
"2023-08-01","tensorflow","142","151420.98"
"2023-08-01","scala","160","148666.77"
"2023-08-01","spark","365","141249.53"
"2023-08-01","hadoop","212","139520.01"
"2023-08-01","java","237","139427.81"
"2023-08-01","pandas","105","139200.71"
"2023-08-01","aws","448","136985.16"
"2023-08-01","git","109","136784.04"
"2023-08-01","redshift","155","136756.84"
"2023-08-01","snowflake","257","135599.61"
"2023-08-01","airflow","136","135142.22"
"2023-08-01","kafka","127","135033.86"
"2023-08-01","go","144","134537.34"
"2023-08-01","nosql","140","134529.65"
"2023-08-01","databricks","140","134515.29"
"2023-08-01","python","1279","133517.37"
"2023-08-01","gcp","119","132722.20"
"2023-08-01","docker","102","132361.04"
"2023-08-01","r","548","131484.38"
"2023-08-01","azure","297","129247.74"
"2023-08-01","flow","105","126419.25"
"2023-08-01","sql","1290","124742.71"
"2023-08-01","tableau","489","119339.77"
"2023-08-01","sas","376","119282.76"
"2023-08-01","oracle","134","115107.22"
"2023-08-01","sql server","133","114403.59"
"2023-08-01","power bi","244","106136.99"
"2023-08-01","excel","384","105420.85"
"2023-08-01","powerpoint","105","103519.99"
"2023-09-01","spark","194","145224.04"
"2023-09-01","java","127","143002.87"
"2023-09-01","aws","253","139873.72"
"2023-09-01","python","702","135780.87"
"2023-09-01","snowflake","131","135444.59"
"2023-09-01","azure","187","132215.57"
"2023-09-01","r","285","129685.25"
"2023-09-01","sql","724","127384.15"
"2023-09-01","sas","180","116537.99"
"2023-09-01","tableau","260","111646.51"
"2023-09-01","power bi","151","105769.28"
"2023-09-01","excel","225","98809.34"
"2023-10-01","spark","181","157118.67"
"2023-10-01","scala","122","153088.80"
"2023-10-01","hadoop","106","150332.00"
"2023-10-01","aws","278","146111.92"
"2023-10-01","java","149","144720.87"
"2023-10-01","snowflake","146","138843.91"
"2023-10-01","python","750","136050.16"
"2023-10-01","azure","220","133937.38"
"2023-10-01","r","267","127126.84"
"2023-10-01","sql","776","126130.56"
"2023-10-01","tableau","284","117667.73"
"2023-10-01","sas","176","111480.02"
"2023-10-01","power bi","151","108090.93"
"2023-10-01","excel","241","94826.85"
"2023-11-01","spark","155","151072.51"
"2023-11-01","java","102","141977.17"
"2023-11-01","azure","164","137016.45"
"2023-11-01","aws","207","135643.53"
"2023-11-01","python","570","133428.39"
"2023-11-01","sql","603","125825.52"
"2023-11-01","r","239","125180.46"
"2023-11-01","tableau","249","115412.23"
"2023-11-01","sas","180","111428.81"
"2023-11-01","power bi","131","107237.53"
"2023-11-01","excel","208","91899.07"
"2023-12-01","kafka","104","156876.94"
"2023-12-01","hadoop","127","147653.39"
"2023-12-01","nosql","110","147642.15"
"2023-12-01","spark","208","147347.14"
"2023-12-01","scala","127","146748.95"
"2023-12-01","snowflake","145","142076.72"
"2023-12-01","java","177","140801.68"
"2023-12-01","aws","306","139460.69"
"2023-12-01","azure","214","134618.70"
"2023-12-01","python","766","134206.59"
"2023-12-01","sql","732","127967.08"
"2023-12-01","r","288","124375.96"
"2023-12-01","tableau","274","116955.04"
"2023-12-01","sas","172","109461.38"
"2023-12-01","power bi","176","103807.75"
"2023-12-01","excel","232","95511.66"
